iter	MultiClass
0	3.588423201
1	3.428679984
2	3.218286064
3	3.081483244
4	2.955605912
5	2.82686886
6	2.734391367
7	2.671304418
8	2.621326605
9	2.566807909
10	2.507399783
11	2.456468256
12	2.386046114
13	2.327584819
14	2.28610993
15	2.261727508
16	2.200204999
17	2.165938313
18	2.128953606
19	2.100224378
20	2.072545632
21	2.043313668
22	1.997009429
23	1.956715267
24	1.942723378
25	1.899529633
26	1.857815395
27	1.831929898
28	1.804415092
29	1.783641869
30	1.751159187
31	1.718687496
32	1.696648837
33	1.679771659
34	1.658201207
35	1.628887939
36	1.607701564
37	1.590587717
38	1.568791759
39	1.552477568
40	1.530720493
41	1.508405012
42	1.489304216
43	1.465832065
44	1.447456041
45	1.426555819
46	1.41239929
47	1.395075135
48	1.382130034
49	1.369025927
50	1.346523692
51	1.331508962
52	1.316612823
53	1.301123851
54	1.289023967
55	1.274110494
56	1.265624151
57	1.256149959
58	1.242158084
59	1.233468054
60	1.22320234
61	1.21176281
62	1.202383724
63	1.190926009
64	1.182526891
65	1.168199846
66	1.157719154
67	1.142444986
68	1.131299131
69	1.112606417
70	1.099318673
71	1.085755294
72	1.077459031
73	1.069527331
74	1.053631098
75	1.039928434
76	1.026734527
77	1.018355039
78	0.999393839
79	0.9900790809
80	0.9845367239
81	0.9751436387
82	0.9706635183
83	0.9598305906
84	0.951720695
85	0.9434144498
86	0.9359333922
87	0.9270427504
88	0.9146559728
89	0.9104318113
90	0.9003093013
91	0.8925640621
92	0.8857650851
93	0.8769745807
94	0.8683880528
95	0.8612779818
96	0.8555558659
97	0.8506968505
98	0.8429954032
99	0.837531649
100	0.8319386785
101	0.8221354835
102	0.8148943678
103	0.8059051774
104	0.7997979906
105	0.7942854404
106	0.7883123307
107	0.7832144791
108	0.7776825643
109	0.7723492675
110	0.7641505982
111	0.7573599406
112	0.748777517
113	0.7438225896
114	0.736614504
115	0.7289335474
116	0.7196935819
117	0.7157580505
118	0.7122124499
119	0.7084543463
120	0.7000719804
121	0.6958927527
122	0.6926323407
123	0.6873751191
124	0.6809998107
125	0.6760672044
126	0.6712080319
127	0.6679189469
128	0.6643000292
129	0.6591109049
130	0.6536079199
131	0.6509998254
132	0.645309273
133	0.6413693992
134	0.6374101552
135	0.6313511797
136	0.6264983809
137	0.6197165531
138	0.6160414112
139	0.614072474
140	0.608692199
141	0.6065681177
142	0.6039920032
143	0.6008224949
144	0.5968939993
145	0.5945617974
146	0.5905965592
147	0.5862741685
148	0.5833668081
149	0.5791908862
150	0.5762972694
151	0.5745870501
152	0.5725527898
153	0.5661628072
154	0.5650482566
155	0.5615255792
156	0.5591856789
157	0.5575175226
158	0.553594495
159	0.5512405676
160	0.5482972835
161	0.5451933857
162	0.5440263919
163	0.5418592426
164	0.5396066106
165	0.5361731036
166	0.5326233837
167	0.5301430773
168	0.5283848061
169	0.524534987
170	0.5205076997
171	0.5189422287
172	0.5180468039
173	0.5151460002
174	0.5133735479
175	0.5114733232
176	0.5100652582
177	0.5068659725
178	0.5051354548
179	0.5013364336
180	0.4999946083
181	0.4964352887
182	0.4957877733
183	0.4944133218
184	0.492932641
185	0.4909768258
186	0.4905201325
187	0.487586916
188	0.4864308694
189	0.4855404172
190	0.4844244791
191	0.4836035349
192	0.4822159736
193	0.4790051253
194	0.4771876211
195	0.4751578387
196	0.4736549034
197	0.4718603224
198	0.4695020219
199	0.4687079977
200	0.4666067642
201	0.4663705791
202	0.4640919677
203	0.4634753844
204	0.4632833412
205	0.4614388051
206	0.4582598403
207	0.4568284348
208	0.4558218766
209	0.4539115284
210	0.4534054048
211	0.4527665146
212	0.4504870077
213	0.4484843407
214	0.4482905793
215	0.4478109603
216	0.4476188477
217	0.4459164201
218	0.445657462
219	0.4453852714
220	0.4451020362
221	0.4442335562
222	0.4423772867
223	0.4406420061
224	0.4402393391
225	0.4400158002
226	0.4396566598
227	0.4392675748
228	0.4391019161
229	0.4365380441
230	0.4351303182
231	0.4349879682
232	0.4324388157
233	0.4322393702
234	0.4319989636
235	0.4317876846
236	0.4315355013
237	0.4302180672
238	0.4300520404
239	0.4296247823
240	0.4289530146
241	0.4284810977
242	0.4283421349
243	0.4269973353
244	0.4256455006
245	0.4247388386
246	0.4244088791
247	0.42422472
248	0.423495416
249	0.4225514672
250	0.4223841536
251	0.4212972298
252	0.4193957802
253	0.4190680676
254	0.4180379852
255	0.4163954848
256	0.4158062523
257	0.4156230461
258	0.4154831743
259	0.4142787007
260	0.4140036907
261	0.4122029798
262	0.4107221663
263	0.4098034524
264	0.4096112557
265	0.408597063
266	0.4085063202
267	0.408056878
268	0.4079095372
269	0.4075609552
270	0.4068730119
271	0.4061973888
272	0.4060508972
273	0.4057780868
274	0.4055766809
275	0.4054066394
276	0.4029177393
277	0.4026050005
278	0.402304445
279	0.4020753586
280	0.4011979178
281	0.4009705139
282	0.4006080506
283	0.4003060105
284	0.40006164
285	0.3995846009
286	0.3988317876
287	0.398499633
288	0.398035694
289	0.3971024336
290	0.3964312258
291	0.3962010702
292	0.3948782481
293	0.3944187379
294	0.3941810147
295	0.3933848417
296	0.3929124366
297	0.3927356462
298	0.3922409797
299	0.3915934478
300	0.3897952603
301	0.3893710588
302	0.3885899986
303	0.3884860743
304	0.3872558691
305	0.3862285267
306	0.385125739
307	0.3830386081
308	0.3818000827
309	0.3814600689
310	0.3813232422
