iter	Passed	Remaining
0	17059	17042767
1	33643	16788344
2	50469	16772651
3	67192	16730990
4	83876	16691338
5	100523	16653334
6	117178	16622674
7	133699	16578679
8	150201	16538895
9	167104	16543318
10	184933	16627236
11	202761	16694009
12	221563	16821750
13	240944	16969343
14	264760	17385915
15	284810	17515858
16	304519	17608386
17	324651	17711529
18	344874	17806438
19	364683	17869508
20	384774	17937827
21	405088	18008017
22	425265	18064519
23	445646	18122975
24	464922	18131986
25	485366	18182590
26	505628	18221354
27	525713	18249759
28	545406	18261719
29	565310	18278361
30	585330	18296306
31	604685	18291721
32	624270	18293015
33	644035	18298173
34	663408	18291113
35	682606	18278681
36	702478	18283434
37	721678	18269867
38	741068	18260688
39	760504	18252118
40	782444	18301565
41	804148	18342238
42	821782	18289445
43	839226	18234100
44	856616	18179301
45	873978	18125561
46	891432	18075222
47	908823	18024999
48	926266	17977121
49	943735	17930976
50	961117	17884323
51	978490	17838636
52	995937	17795335
53	1013321	17751895
54	1030647	17708390
55	1048261	17670690
56	1065649	17629960
57	1082989	17589243
58	1100583	17553368
59	1117884	17513524
60	1135968	17486472
61	1153347	17449036
62	1170698	17411815
63	1188245	17378092
64	1205764	17344457
65	1223113	17308908
66	1240691	17277095
67	1262310	17301072
68	1279918	17269629
69	1297324	17235888
70	1314613	17201067
71	1331917	17166934
72	1349207	17133092
73	1366498	17099691
74	1383802	17066903
75	1401136	17034867
76	1418440	17002862
77	1435732	16971089
78	1453032	16939782
79	1470469	16910402
80	1487737	16879396
81	1505175	16850623
82	1522480	16820656
83	1539785	16790998
84	1557089	16761614
85	1574440	16733004
86	1591821	16704980
87	1609120	16676343
88	1626432	16648090
89	1643769	16620333
90	1661088	16592629
91	1678410	16565178
92	1695714	16537771
93	1713017	16510569
94	1730287	16483267
95	1747575	16456335
96	1764873	16429698
97	1782178	16403319
98	1799480	16377090
99	1816795	16351158
100	1834283	16326941
101	1851665	16301915
102	1868973	16276399
103	1886343	16251573
104	1903602	16225946
105	1920874	16200586
106	1938169	16175567
107	1955520	16151147
108	1972822	16126469
109	1990213	16102637
110	2007566	16078617
111	2024869	16054321
112	2042187	16030269
113	2059487	16006190
114	2076831	15982576
115	2094208	15959312
116	2111580	15936115
117	2128906	15912675
118	2146234	15889353
119	2163536	15865936
120	2181105	15844561
121	2198526	15822184
122	2215878	15799393
123	2233425	15778072
124	2251048	15757340
125	2268438	15735040
126	2285810	15712695
127	2303143	15690166
128	2320464	15667632
129	2337822	15645428
130	2355190	15623363
131	2372524	15601148
132	2389871	15579089
133	2407220	15557112
134	2424550	15535083
135	2441997	15513867
136	2459443	15492696
137	2476801	15471033
138	2494248	15449985
139	2511583	15428300
140	2528927	15406729
141	2546317	15385494
142	2563662	15364044
143	2581025	15342765
144	2598372	15321438
145	2615703	15300073
146	2633019	15278675
147	2650356	15257458
148	2667681	15236219
149	2685019	15215108
150	2702384	15194204
151	2719743	15173304
152	2737351	15153833
153	2754958	15134383
154	2772351	15113789
155	2789846	15093782
156	2807254	15073349
157	2824686	15053074
158	2842105	15032769
159	2859504	15012396
160	2876941	14992258
161	2894320	14971856
162	2911954	14952794
163	2929616	14933899
164	2947042	14913820
165	2964444	14893654
166	2981912	14873849
167	2999392	14854132
168	3016839	14834283
169	3034222	14814147
170	3051588	14793960
171	3068948	14773775
172	3086365	14753897
173	3103755	14733918
174	3121117	14713837
175	3138490	14693842
176	3156111	14675028
177	3173623	14655722
178	3190990	14635771
179	3208394	14616020
180	3225748	14596065
181	3243068	14575991
182	3260598	14556881
183	3277961	14537045
184	3295257	14516943
185	3312628	14497201
186	3329943	14477241
187	3347348	14457698
188	3364700	14437949
189	3382067	14418288
190	3399486	14398873
191	3416907	14379484
192	3434254	14359812
193	3453399	14347629
194	3474023	14341480
195	3491696	14323080
196	3509140	14303755
197	3527908	14289809
198	3546875	14276621
199	3564980	14259923
200	3582942	14242644
201	3601142	14226295
202	3619580	14210866
203	3641436	14208744
204	3659412	14191379
205	3677764	14175461
206	3696495	14160972
207	3714136	14142288
208	3732210	14125255
209	3750307	14108298
210	3768330	14091056
211	3786423	14074065
212	3804299	14056261
213	3822193	14038525
214	3839962	14020326
215	3857755	14002224
216	3875524	13984035
217	3893436	13966363
218	3911682	13949881
219	3930353	13934890
220	3948586	13918320
221	3967723	13904904
222	3986696	13890866
223	4004641	13873220
224	4021429	13851589
225	4038615	13831363
226	4056210	13812557
227	4073477	13792650
228	4090400	13771611
